json_angle, json_cte, steer_pid, steer_p_error, steer_i_error, steer_d_error
0,0.7598,-0.820584,0.7598,0.7598,0.7598,
0,0.7598,-0.060784,0.7598,1.5196,0,
-20.0783,0.7598,-0.060784,0.7598,2.2794,0,
-1.0833,0.7598,-0.060784,0.7598,3.0392,0,
-1.0833,0.7598,-0.060784,0.7598,3.799,0,
-1.0833,0.7598,-0.060784,0.7598,4.5588,0,
-1.0833,0.7599,-0.060892,0.7599,5.3187,0.0001,
-1.0833,0.7597,-0.060576,0.7597,6.0784,-0.0002,
-1.086,0.7592,-0.060236,0.7592,6.8376,-0.0005,
-1.0781,0.7588,-0.060304,0.7588,7.5964,-0.0004,
-1.0696,0.7584,-0.060272,0.7584,8.3548,-0.0004,
-1.0713,0.7575,-0.0597,0.7575,9.1123,-0.0009,
-1.0705,0.7569,-0.059952,0.7569,9.8692,-0.0006,
-1.0562,0.7558,-0.059364,0.7558,10.625,-0.0011,
-1.0625,0.7549,-0.059492,0.7549,11.3799,-0.0009,
-1.0478,0.754,-0.05942,0.754,12.1339,-0.0009,
-1.051,0.7523,-0.058484,0.7523,12.8862,-0.0017,
-1.0492,0.751,-0.05878,0.751,13.6372,-0.0013,
-1.0258,0.7488,-0.057704,0.7488,14.386,-0.0022,
-1.0332,0.7472,-0.058176,0.7472,15.1332,-0.0016,
-1.0063,0.7453,-0.057724,0.7453,15.8785,-0.0019,
-1.0181,0.7422,-0.056276,0.7422,16.6207,-0.0031,
-1.0068,0.7398,-0.056784,0.7398,17.3605,-0.0024,
-0.9706,0.7359,-0.054972,0.7359,18.0964,-0.0039,
-0.9833,0.7329,-0.055632,0.7329,18.8293,-0.003,
-0.938,0.7297,-0.055176,0.7297,19.559,-0.0032,
-0.9545,0.7243,-0.052544,0.7243,20.2833,-0.0054,
-0.9431,0.7203,-0.053624,0.7203,21.0036,-0.004,
-0.8773,0.7136,-0.050388,0.7136,21.7172,-0.0067,
-0.9043,0.7088,-0.051904,0.7088,22.426,-0.0048,
-0.8234,0.7036,-0.051088,0.7036,23.1296,-0.0052,
-0.8613,0.695,-0.047,0.695,23.8246,-0.0086,
-0.8409,0.6888,-0.048904,0.6888,24.5134,-0.0062,
-0.7387,0.6788,-0.044304,0.6788,25.1922,-0.01,
-0.7863,0.6715,-0.04642,0.6715,25.8637,-0.0073,
-0.6713,0.6639,-0.045512,0.6639,26.5276,-0.0076,
-0.7242,0.6539,-0.042312,0.6539,27.1815,-0.01,
-0.7015,0.6525,-0.0508,0.6525,27.834,-0.0014,
-0.6215,0.65,-0.0495,0.65,28.484,-0.0025,
-0.8337,0.6472,-0.048976,0.6472,29.1312,-0.0028,
-0.8012,0.6528,-0.057824,0.6528,29.784,0.0056,
-0.7881,0.6563,-0.056004,0.6563,30.4403,0.0035,
-1.0093,0.6606,-0.057148,0.6606,31.1009,0.0043,
-0.9638,0.6629,-0.055332,0.6629,31.7638,0.0023,
-0.9924,0.6655,-0.05584,0.6655,32.4293,0.0026,
-0.947,0.6665,-0.05432,0.6665,33.0958,0.001,
-0.9597,0.6669,-0.053752,0.6669,33.7627,0.0004,
-0.9217,0.6665,-0.05292,0.6665,34.4292,-0.0004,
-0.9075,0.6655,-0.05224,0.6655,35.0947,-0.001,
-0.8867,0.6627,-0.050216,0.6627,35.7574,-0.0028,
-0.8697,0.66,-0.0501,0.66,36.4174,-0.0027,
-0.8191,0.6565,-0.04902,0.6565,37.0739,-0.0035,
-0.8162,0.65,-0.0455,0.65,37.7239,-0.0065,
-0.7892,0.6447,-0.046276,0.6447,38.3686,-0.0053,
-0.7012,0.6353,-0.041424,0.6353,39.0039,-0.0094,
-0.7206,0.6281,-0.043048,0.6281,39.632,-0.0072,
-0.5993,0.6201,-0.041608,0.6201,40.2521,-0.008,
-0.6399,0.6066,-0.035028,0.6066,40.8587,-0.0135,
-0.6039,0.5966,-0.037728,0.5966,41.4553,-0.01,
-0.4394,0.5802,-0.030016,0.5802,42.0355,-0.0164,
-0.5069,0.5683,-0.033564,0.5683,42.6038,-0.0119,
-0.3141,0.5558,-0.031964,0.5558,43.1596,-0.0125,
-0.4028,0.5356,-0.022648,0.5356,43.6952,-0.0202,
-0.3628,0.5212,-0.027296,0.5212,44.2164,-0.0144,
-0.1299,0.4986,-0.017288,0.4986,44.715,-0.0226,
-0.2461,0.4828,-0.022824,0.4828,45.1978,-0.0158,
0.0041,0.4665,-0.02102,0.4665,45.6643,-0.0163,
-0.1343,0.4413,-0.010104,0.4413,46.1056,-0.0252,
-0.0892,0.4238,-0.016404,0.4238,46.5294,-0.0175,
0.1837,0.3972,-0.005176,0.3972,46.9266,-0.0266,
0.0262,0.3792,-0.012336,0.3792,47.3058,-0.018,
0.3069,0.3611,-0.010788,0.3611,47.6669,-0.0181,
0.1279,0.3338,0.000596,0.3338,48.0007,-0.0273,
